DiadaSemana,Mes,Dia,Ano,Jornal,qt,pos,neg,neu
Sat,JAN,1,2000,G1,0,0,0,0
Sat,JAN,1,2000,FOLHASP,0,0,0,0
Sat,JAN,1,2000,ESTADAO,0,0,0,0
Sun,JAN,2,2000,G1,0,0,0,0
Sun,JAN,2,2000,FOLHASP,0,0,0,0
Sun,JAN,2,2000,ESTADAO,0,0,0,0
Mon,JAN,3,2000,G1,0,0,0,0
Mon,JAN,3,2000,FOLHASP,0,0,0,0
Mon,JAN,3,2000,ESTADAO,0,0,0,0
Tue,JAN,4,2000,G1,0,0,0,0
Tue,JAN,4,2000,FOLHASP,0,0,0,0
Tue,JAN,4,2000,ESTADAO,0,0,0,0
Wed,JAN,5,2000,G1,0,0,0,0
Wed,JAN,5,2000,FOLHASP,0,0,0,0
Wed,JAN,5,2000,ESTADAO,0,0,0,0
Thu,JAN,6,2000,G1,0,0,0,0
Thu,JAN,6,2000,FOLHASP,0,0,0,0
Thu,JAN,6,2000,ESTADAO,0,0,0,0
Fri,JAN,7,2000,G1,0,0,0,0
Fri,JAN,7,2000,FOLHASP,0,0,0,0
Fri,JAN,7,2000,ESTADAO,0,0,0,0
Sat,JAN,8,2000,G1,0,0,0,0
Sat,JAN,8,2000,FOLHASP,0,0,0,0
Sat,JAN,8,2000,ESTADAO,0,0,0,0
Sun,JAN,9,2000,G1,0,0,0,0
Sun,JAN,9,2000,FOLHASP,0,0,0,0
Sun,JAN,9,2000,ESTADAO,0,0,0,0
Mon,JAN,10,2000,G1,0,0,0,0
Mon,JAN,10,2000,FOLHASP,0,0,0,0
Mon,JAN,10,2000,ESTADAO,0,0,0,0
Tue,JAN,11,2000,G1,0,0,0,0
Tue,JAN,11,2000,FOLHASP,0,0,0,0
Tue,JAN,11,2000,ESTADAO,0,0,0,0
Wed,JAN,12,2000,G1,0,0,0,0
Wed,JAN,12,2000,FOLHASP,0,0,0,0
Wed,JAN,12,2000,ESTADAO,0,0,0,0
Thu,JAN,13,2000,G1,0,0,0,0
Thu,JAN,13,2000,FOLHASP,0,0,0,0
Thu,JAN,13,2000,ESTADAO,0,0,0,0
Fri,JAN,14,2000,G1,0,0,0,0
Fri,JAN,14,2000,FOLHASP,0,0,0,0
Fri,JAN,14,2000,ESTADAO,0,0,0,0
Sat,JAN,15,2000,G1,0,0,0,0
Sat,JAN,15,2000,FOLHASP,0,0,0,0
Sat,JAN,15,2000,ESTADAO,0,0,0,0
Sun,JAN,16,2000,G1,0,0,0,0
Sun,JAN,16,2000,FOLHASP,0,0,0,0
Sun,JAN,16,2000,ESTADAO,0,0,0,0
Mon,JAN,17,2000,G1,0,0,0,0
Mon,JAN,17,2000,FOLHASP,0,0,0,0
Mon,JAN,17,2000,ESTADAO,0,0,0,0
Tue,JAN,18,2000,G1,0,0,0,0
Tue,JAN,18,2000,FOLHASP,0,0,0,0
Tue,JAN,18,2000,ESTADAO,0,0,0,0
Wed,JAN,19,2000,G1,0,0,0,0
Wed,JAN,19,2000,FOLHASP,0,0,0,0
Wed,JAN,19,2000,ESTADAO,0,0,0,0
Thu,JAN,20,2000,G1,0,0,0,0
Thu,JAN,20,2000,FOLHASP,0,0,0,0
Thu,JAN,20,2000,ESTADAO,0,0,0,0
Fri,JAN,21,2000,G1,0,0,0,0
Fri,JAN,21,2000,FOLHASP,0,0,0,0
Fri,JAN,21,2000,ESTADAO,0,0,0,0
Sat,JAN,22,2000,G1,0,0,0,0
Sat,JAN,22,2000,FOLHASP,0,0,0,0
Sat,JAN,22,2000,ESTADAO,0,0,0,0
